id	codigo	direccion	localidad	provincia	ubicacion	latitud	longitud	fuente	fecha_creacion
400	529	Viamonte 2296	Capital Federal	Capital Federal		-34.601114935125160	-58.399771174784510	Georef	2026-06-22 16:11:25.723
401	530	Av. Rivadavia 6074	Capital Federal	Capital Federal		-34.624567745487210	-58.451297910730325	Georef	2026-06-22 16:11:29.893
402	531	Arevalo 1736	Capital Federal	Capital Federal		-34.580623321406556	-58.440043349440320	Georef	2026-06-22 16:11:34.043
403	533	Rosario 85	Capital Federal	Capital Federal		-38.875440517151134	-62.056309074146420	Georef	2026-06-22 16:11:38.173
404	534	Martiniano Leguizamon 1576	Capital Federal	Capital Federal		-34.653423251821685	-58.507139647501470	Georef	2026-06-22 16:11:42.620
405	535	Murguiondo 4324	Capital Federal	Capital Federal		-34.677991618548630	-58.474352134589600	Georef	2026-06-22 16:11:46.560
406	536	Av. Dr. Ricardo Balbin 4189	Capital Federal	Capital Federal		-31.398443637618893	-64.137415934891310	Georef	2026-06-22 16:11:50.337
407	537	Charcas 4367	Capital Federal	Capital Federal		-34.674040229792844	-58.513978640294134	Georef	2026-06-22 16:11:54.700
408	538	Hipolito Irigoyen 3254	Capital Federal	Capital Federal		-32.729189172765360	-60.735374831583810	Georef	2026-06-22 16:11:59.233
409	539	Av. Teniente Gral Donato Alvarez 837	Capital Federal	Capital Federal		-34.616318151066540	-58.458309035762590	Georef	2026-06-22 16:12:03.413
410	541	Maipu 918	Capital Federal	Capital Federal		-34.650450788730794	-58.572738932501840	Georef	2026-06-22 16:12:07.627
411	542	Segurola 279	Capital Federal	Capital Federal		-34.636380493705815	-58.562140045322360	Georef	2026-06-22 16:12:11.750
412	543	Av. Olazabal 5179	Capital Federal	Capital Federal		-34.576970178207944	-58.486721508841070	Georef	2026-06-22 16:12:16.263
413	545	Libertad 1039	Capital Federal	Capital Federal		-35.052138839410624	-58.763286927420750	Georef	2026-06-22 16:12:20.760
414	546	Moreno 1902	Capital Federal	Capital Federal		-31.427537845824293	-64.166200983380800	Georef	2026-06-22 16:12:24.957
415	547	Av. Dorrego 851	Capital Federal	Capital Federal		-34.591334805220676	-58.447192695729730	Georef	2026-06-22 16:12:28.977
416	548	Av. Congreso 5241	Capital Federal	Capital Federal		-34.570722497232104	-58.491977850394780	Georef	2026-06-22 16:12:32.857
417	550	Sarmiento 3885	Capital Federal	Capital Federal		-31.634089986113118	-60.692302776416760	Georef	2026-06-22 16:12:36.717
418	551	Av. Monroe 3576	Capital Federal	Capital Federal		-34.565316077869970	-58.471151782319490	Georef	2026-06-22 16:12:40.793
419	552	726	Lisandro de Latorre 199	Liniers		-34.601371518307550	-58.591509908840110	Georef	2026-06-22 16:12:44.590
420	553	Cuzco 135	Capital Federal	Capital Federal		-34.688919637693346	-58.516739577725204	Georef	2026-06-22 16:12:48.360
