store_id,official_address,neighborhood,locality
771,Santa Fe 723,Córdoba Capital,Córdoba
772,Lavalleja 49,Córdoba Capital,Córdoba
773,Pres. Manuel Quintana 570,Recoleta,C.A.B.A.
774,Av. Saenz 1050,Pompeya,C.A.B.A.
775,Av. Angel Gallardo 499,Caballito,C.A.B.A.
776,Illia 490,Córdoba Capital,Córdoba
777,Bucarelli 1980,Villa Urquiza,C.A.B.A.
778,Bulnes 758/800,Almagro,C.A.B.A.
779,Av. Carabobo 269,Flores,C.A.B.A.
780,Av. Corrientes 5573,Villa Crespo,C.A.B.A.
781,Gabriela Mistral 3153,Villa Pueyrredon,C.A.B.A.
782,Zapiola 2215,Belgrano,C.A.B.A.
783,Av. Cabildo 1287,Belgrano,C.A.B.A.
784,Jose María Bedoya 695,Córdoba Capital,Córdoba
785,Boulevard San Juan 217,Córdoba Capital,Córdoba
786,Lima 987,Córdoba Capital,Córdoba
787,Alvear 2446,Villa Ballester,G.B.A.
788,Mansilla 3620,Palermo,C.A.B.A.
789,Duarte Quirós 1851,Córdoba Capital,Córdoba
790,Ituzaingó 921,Córdoba Capital,Córdoba
791,Av. Francisco Beiro 3345,C.A.B.A.,C.A.B.A.
792,Av. Independencia 3802,Caballito,C.A.B.A.
793,Boulevard San Juan 835,Córdoba Capital,Córdoba
794,Mariano Fragueiro 2220,Córdoba Capital,Córdoba
795,Guatemala 4540,Palermo,C.A.B.A.
796,Av. Chiclana 3002,Parque Patricios,C.A.B.A.
797,Nogoya 2744,C.A.B.A.,C.A.B.A.
798,Franklin D Roosevelt 2268,Belgrano,C.A.B.A.
799,Soler 5748,Palermo,C.A.B.A.
802,Artigas 4925,Villa Ballester,G.B.A.
805,Av. Medrano 414,Almagro,C.A.B.A.
806,Jacinto de Altolaguirre 2222,Córdoba Capital,Córdoba
807,Av. Capdevila 264,Córdoba Capital,Córdoba
808,Av. Constituyentes 4081,Villa Urquiza,C.A.B.A.
809,Jose Antonio Cabrera 3291/3295/3299,Palermo,C.A.B.A.
810,Av. Colón 1750,Córdoba Capital,Córdoba
811,Av. Alvarez Thomas 1002,Colegiales,C.A.B.A.
812,Av. Cobo 1697,Parque Patricios,C.A.B.A.
813,Av. Colon 1088,Córdoba Capital,Córdoba
814,San Jeronimo 3034,Córdoba Capital,Córdoba
815,Av. Varela 1264,Bajo Flores,C.A.B.A.
816,Av. Constituyentes 6209,Villa Urquiza,C.A.B.A.
817,Duarte Quirós 2400,Córdoba Capital,Córdoba
818,Av. Vélez Sarsfield 1045,Córdoba Capital,Córdoba
819,Av. Cabildo 3955,Nuñez,C.A.B.A.
820,Av. Castro Barros 359,Córdoba Capital,Córdoba
821,Santa Fe 49,Córdoba Capital,Córdoba
822,Av. España 1244,Mendoza,Mendoza
